Item,Open,Close,Volume
0,0.013286469139151907,0.009890289294008467,0.18642764497594552
1,0.01227041251407461,0.015402188849359705,0.3852880766572601
2,0.014491301079714192,0.010840423712566508,0.3344936188436654
3,0.010077288775907356,0.010290348578692585,0.2002457444387965
4,0.010982294594870948,0.007534398801016959,0.2525531113596264
5,0.008517109562577369,0.010479264044778586,0.2349381390335917
6,0.010660265115070039,0.011151586607380165,0.18329236845517266
7,0.011282120716469626,0.010307019843076679,0.16916292953706952
8,0.010565881709215366,0.011329387897210094,0.1988155288162319
9,0.011148866552153677,0.011301602456569956,0.16650437944089003
10,0.011493099390156816,0.013879750944415625,0.23438842424978137
11,0.014252557578554648,0.016063388725616204,0.3203058037777025
12,0.016295776759698205,0.012396204146278761,0.27372901658884613
13,0.009549825084138042,0.010518155151585787,0.21885309916218595
14,0.010682476977047897,0.007384382951827195,0.22509934698318235
15,0.0074344258553420695,0.003183785992910887,0.34098308849781606
16,0.0036866758693392676,0.0011834980795792788,0.2591714980360328
17,0.002204229669156191,0.007917786821316983,0.2992734035495727
18,0.007473296613803346,0.007273249699355583,0.1611045978801219
19,0.008172876724574216,0.008528989924599245,0.29684837016109383
20,0.010210542940223291,0.011462740992104814,0.23332793634659021
21,0.010593638032912064,0.009395776531325839,0.4581316465494117
22,0.022347701289981953,0.01720799569838828,0.7976929523426604
23,0.017039772090649163,0.019930611457384728,0.3158181464981781
24,0.01730628041928106,0.01631898073914957,0.3603590746176208
25,0.016634465135982518,0.011690547564998002,0.31514439754549256
26,0.012026116047420599,0.013140751834366707,0.27913610425529284
27,0.014135962310722117,0.009217975241495882,0.4175724612109702
28,0.009255560431809487,0.007217687328164288,0.46162692143158135
29,0.006307326927926696,0.006895418767183567,0.3189291056821401
30,0.00419192769913071,0.010001422546480065,0.9378659936390354
31,0.010160566250773093,0.011246040085378675,0.6270281516125732
32,0.010771315921183744,0.013012955827600037,0.40202497139683857
33,0.01250915601523414,0.01272958688351554,0.2532171309543353
34,0.012886706646204102,0.012757363814066669,0.20630954559427347
35,0.01177071364977765,0.009101293410985284,0.3278727967986995
36,0.009994002797265977,0.010534826415969895,0.3790077821414763
37,0.004480647889740452,0.00772331426710296,0.6277943355241674
38,0.007689828252985018,0.006045303424841081,0.2424929673280526
39,0.0059408822279456985,0.007223244416292296,0.1900737188486222
40,0.007767561266131914,0.006150871079095635,0.226383610119836
41,0.0059131174004733444,0.005661915404541043,0.17711180288771464
42,0.006013053771822485,0.006678726370546437,0.18497067664801056
43,0.006329538789904568,0.006061974689225161,0.16467283688898557
44,0.006929174025550655,0.0076788660721677365,0.21072423874710391
45,0.007662071929288319,0.005673029580797087,0.19561214678962263
46,0.004947028961070604,0.003533831484442737,0.2762270262202805
47,0.003170318108558931,0.0027726125319707112,0.2665001157284716
48,0.0028538415942524903,0.0015613290117512807,0.19517918430153186
49,0.0016823274466570143,0.0,0.2710266904399026
50,0.0,0.0020113935794986715,0.25340442412445074
51,0.0007773131239177666,0.00033893131527579223,0.17275305051418444
52,0.0010160566250773106,0.0023892245116706734,0.2008295059173943
53,0.0019488272715132426,0.002805955060738885,0.17235658220570216
54,0.002204229669156191,0.003272682382781361,0.1819326815907425
55,0.003264710018189218,0.0020058364913706356,0.13688583897277656
